編號,寶可夢,屬性1,屬性2,最高CP,攻擊,防禦,耐力,代,圖片連結,詳情頁
158,小鋸鱷,Water,,1279,117,109,137,2,http://db.pokemonhubs.com/zh/imgs/280327898605b7899be688.png,http://db.pokemonhubs.com/zh/detail.php?p_id=202
159,藍鱷,Water,,1947,150,142,163,2,http://db.pokemonhubs.com/zh/imgs/1487549040605b79983089f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=203
160,大力鱷,Water,,3230,205,188,198,2,http://db.pokemonhubs.com/zh/imgs/545746604605b7a63c78fa.png,http://db.pokemonhubs.com/zh/detail.php?p_id=204
161,尾立,Normal,,698,79,73,111,2,http://db.pokemonhubs.com/zh/imgs/1399570773605b7bae9edbb.png,http://db.pokemonhubs.com/zh/detail.php?p_id=205
162,大尾立,Normal,,1987,148,125,198,2,http://db.pokemonhubs.com/zh/imgs/1910951560605b7ca0b3052.png,http://db.pokemonhubs.com/zh/detail.php?p_id=206
163,咕咕,Normal,Flying,766,67,88,155,2,http://db.pokemonhubs.com/zh/imgs/490766799605ca32c624a2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=219
164,貓頭夜鷹,Normal,Flying,2288,145,156,225,2,http://db.pokemonhubs.com/zh/imgs/841480938605ca3f4d42ec.png,http://db.pokemonhubs.com/zh/detail.php?p_id=220
165,芭瓢蟲,Bug,Flying,823,72,118,120,2,http://db.pokemonhubs.com/zh/imgs/1503225753605ca54232f06.png,http://db.pokemonhubs.com/zh/detail.php?p_id=221
166,安瓢蟲,Bug,Flying,1522,107,179,146,2,http://db.pokemonhubs.com/zh/imgs/1919111203605ca65ad708f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=222
167,圓絲蛛,Bug,Poison,923,105,73,120,2,http://db.pokemonhubs.com/zh/imgs/1918092091605ca86eec264.png,http://db.pokemonhubs.com/zh/detail.php?p_id=223
168,阿利多斯,Bug,Poison,2003,161,124,172,2,http://db.pokemonhubs.com/zh/imgs/505763339605cab7047554.png,http://db.pokemonhubs.com/zh/detail.php?p_id=224
169,叉字蝠,Poison,Flying,2992,194,178,198,2,http://db.pokemonhubs.com/zh/imgs/796627689605cacd36cce1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=225
170,燈籠魚,Water,Electric,1265,106,97,181,2,http://db.pokemonhubs.com/zh/imgs/1919962083605caf298dd1d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=226
171,電燈怪,Water,Electric,2357,146,137,268,2,http://db.pokemonhubs.com/zh/imgs/370836354605cb1c72af75.png,http://db.pokemonhubs.com/zh/detail.php?p_id=227
172,皮丘,Electric,,535,77,53,85,2,http://db.pokemonhubs.com/zh/imgs/250364706605cb30c68373.png,http://db.pokemonhubs.com/zh/detail.php?p_id=228
173,皮寶寶,Fairy,,759,75,79,137,2,http://db.pokemonhubs.com/zh/imgs/985873770605dcef59a75f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=229
174,寶寶丁,Normal,Fairy,605,69,32,207,2,http://db.pokemonhubs.com/zh/imgs/1052871235605dd01eabb63.png,http://db.pokemonhubs.com/zh/detail.php?p_id=230
175,波克比,Fairy,,743,67,116,111,2,http://db.pokemonhubs.com/zh/imgs/1524662421605dd150db56b.png,http://db.pokemonhubs.com/zh/detail.php?p_id=231
176,波克基古,Fairy,Flying,1931,139,181,146,2,http://db.pokemonhubs.com/zh/imgs/1383937953605dd4896d638.png,http://db.pokemonhubs.com/zh/detail.php?p_id=232
177,天然雀,Psychic,Flying,1246,134,89,120,2,http://db.pokemonhubs.com/zh/imgs/142478034605de1bcde74e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=233
178,天然鳥,Psychic,Flying,2474,192,146,163,2,http://db.pokemonhubs.com/zh/imgs/938369911605deea1b29fe.png,http://db.pokemonhubs.com/zh/detail.php?p_id=234
179,咩利羊,Electric,,1120,114,79,146,2,http://db.pokemonhubs.com/zh/imgs/633630139605defc5967b4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=235
180,茸茸羊,Electric,,1720,145,109,172,2,http://db.pokemonhubs.com/zh/imgs/473264549605df136e489e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=236
181,電龍,Electric,,3225,211,169,207,2,http://db.pokemonhubs.com/zh/imgs/583441301605df2721cb7a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=237
182,美麗花,Grass,,2578,169,186,181,2,http://db.pokemonhubs.com/zh/imgs/366380225605df3788afc9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=238
183,瑪力露,Water,Fairy,521,37,93,172,2,http://db.pokemonhubs.com/zh/imgs/646261365605df9458e95f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=239
184,瑪力露麗,Water,Fairy,1795,112,152,225,2,http://db.pokemonhubs.com/zh/imgs/1988645702605dfbcd7df30.png,http://db.pokemonhubs.com/zh/detail.php?p_id=240
185,樹才怪,Rock,,2428,167,176,172,2,http://db.pokemonhubs.com/zh/imgs/632998603605dfd1ab1cc5.png,http://db.pokemonhubs.com/zh/detail.php?p_id=241
186,蚊香蛙皇,Water,,2769,174,179,207,2,http://db.pokemonhubs.com/zh/imgs/235605211605dff7fc73e1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=242
187,毽子草,Grass,Flying,678,67,94,111,2,http://db.pokemonhubs.com/zh/imgs/1920232183605e00a5527a5.png,http://db.pokemonhubs.com/zh/detail.php?p_id=243
188,毽子花,Grass,Flying,1103,91,120,146,2,http://db.pokemonhubs.com/zh/imgs/790666849605e018acf516.png,http://db.pokemonhubs.com/zh/detail.php?p_id=244
189,毽子棉,Grass,Flying,1850,118,183,181,2,http://db.pokemonhubs.com/zh/imgs/1391898549605e02696286c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=245
190,長尾怪手,Normal,,1524,136,112,146,2,http://db.pokemonhubs.com/zh/imgs/358201721605e032f93171.png,http://db.pokemonhubs.com/zh/detail.php?p_id=246
191,向日種子,Grass,,447,55,55,102,2,http://db.pokemonhubs.com/zh/imgs/168925437360601d0000ada.png,http://db.pokemonhubs.com/zh/detail.php?p_id=306
192,向日花怪,Grass,,2421,185,135,181,2,http://db.pokemonhubs.com/zh/imgs/50930954360601e8261462.png,http://db.pokemonhubs.com/zh/detail.php?p_id=307
193,蜻蜻蜓,Bug,Flying,1662,154,94,163,2,http://db.pokemonhubs.com/zh/imgs/6053844460601fb8cfe9d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=308
194,烏波,Water,Ground,725,75,66,146,2,http://db.pokemonhubs.com/zh/imgs/3984874286060216f70b42.png,http://db.pokemonhubs.com/zh/detail.php?p_id=309
195,沼王,Water,Ground,2252,152,143,216,2,http://db.pokemonhubs.com/zh/imgs/1778123942606023b4dbb78.png,http://db.pokemonhubs.com/zh/detail.php?p_id=310
196,太陽伊布,Psychic,,3583,261,175,163,2,http://db.pokemonhubs.com/zh/imgs/13982300846060251d9bd39.png,http://db.pokemonhubs.com/zh/detail.php?p_id=311
197,月亮伊布,Dark,,2416,126,240,216,2,http://db.pokemonhubs.com/zh/imgs/6918557076060261a6d95a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=312
198,黑暗鴉,Dark,Flying,1766,175,87,155,2,http://db.pokemonhubs.com/zh/imgs/247280058606028b4940de.png,http://db.pokemonhubs.com/zh/detail.php?p_id=313
199,呆呆王,Water,Psychic,2877,177,180,216,2,http://db.pokemonhubs.com/zh/imgs/135253920560602b1083ec0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=314
200,夢妖,Ghost,,2178,167,154,155,2,http://db.pokemonhubs.com/zh/imgs/102383945360602c3c75072.png,http://db.pokemonhubs.com/zh/detail.php?p_id=315
201,未知圖騰,Psychic,,1339,136,91,134,2,http://db.pokemonhubs.com/zh/imgs/11531386260602cecd2bd1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=316
202,果然翁,Psychic,,1160,60,106,382,2,http://db.pokemonhubs.com/zh/imgs/106737363160602e014c8ed.png,http://db.pokemonhubs.com/zh/detail.php?p_id=317
203,麒麟奇,Normal,Psychic,2314,182,133,172,2,http://db.pokemonhubs.com/zh/imgs/190458721260602f1b0ab8f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=318
204,榛果球,Bug,,1253,108,122,137,2,http://db.pokemonhubs.com/zh/imgs/10078230166060303113ee7.png,http://db.pokemonhubs.com/zh/detail.php?p_id=319
205,佛烈托斯,Bug,Steel,2580,161,205,181,2,http://db.pokemonhubs.com/zh/imgs/13433864786060344d83698.png,http://db.pokemonhubs.com/zh/detail.php?p_id=320
206,土龍弟弟,Normal,,1909,131,128,225,2,http://db.pokemonhubs.com/zh/imgs/13705772216060351aa9461.png,http://db.pokemonhubs.com/zh/detail.php?p_id=321
207,天蠍,Ground,Bug,2099,143,184,163,2,http://db.pokemonhubs.com/zh/imgs/3317325826060361c757e1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=322
208,大鋼蛇,Steel,Rock,2729,148,272,181,2,http://db.pokemonhubs.com/zh/imgs/196355482760605c820c7d6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=323
209,布魯,Fairy,,1399,137,85,155,2,http://db.pokemonhubs.com/zh/imgs/23058960560605ddb7f6c4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=324
210,布魯皇,Fairy,,2885,212,131,207,2,http://db.pokemonhubs.com/zh/imgs/136523862760605f51d835f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=325
211,千針魚,Water,Poison,2318,184,138,163,2,http://db.pokemonhubs.com/zh/imgs/82484208960606269a2024.png,http://db.pokemonhubs.com/zh/detail.php?p_id=326
212,巨鉗螳螂,Bug,Steel,3393,236,181,172,2,http://db.pokemonhubs.com/zh/imgs/2736384226060645664985.png,http://db.pokemonhubs.com/zh/detail.php?p_id=327
213,壺壺,Bug,Rock,458,17,396,85,2,http://db.pokemonhubs.com/zh/imgs/1494714461606065aae3a48.png,http://db.pokemonhubs.com/zh/detail.php?p_id=328
214,赫拉克羅斯,Bug,Fighting,3506,234,179,190,2,http://db.pokemonhubs.com/zh/imgs/1842320131606066ea88a3a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=329
215,狃拉,Dark,Ice,2319,189,146,146,2,http://db.pokemonhubs.com/zh/imgs/806894715606067ea754d7.png,http://db.pokemonhubs.com/zh/detail.php?p_id=330
216,熊寶寶,Normal,,1502,142,93,155,2,http://db.pokemonhubs.com/zh/imgs/21420213856060691315147.png,http://db.pokemonhubs.com/zh/detail.php?p_id=331
217,圈圈熊,Normal,,3329,236,144,207,2,http://db.pokemonhubs.com/zh/imgs/2090075966606069e25f15f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=332
218,熔岩蟲,Fire,,1011,118,71,120,2,http://db.pokemonhubs.com/zh/imgs/158710846860606a9c59320.png,http://db.pokemonhubs.com/zh/detail.php?p_id=333
219,熔岩蝸牛,Fire,Rock,1924,139,191,137,2,http://db.pokemonhubs.com/zh/imgs/97524970160606bfd74c83.png,http://db.pokemonhubs.com/zh/detail.php?p_id=334
220,小山豬,Ice,Ground,837,90,69,137,2,http://db.pokemonhubs.com/zh/imgs/13433296060606ce1cdb8d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=335
221,長毛豬,Ice,Ground,2652,181,138,225,2,http://db.pokemonhubs.com/zh/imgs/212757019560606dda5b5bf.png,http://db.pokemonhubs.com/zh/detail.php?p_id=336
222,太陽珊瑚,Water,Rock,1558,118,156,146,2,http://db.pokemonhubs.com/zh/imgs/65093529660606f00da543.png,http://db.pokemonhubs.com/zh/detail.php?p_id=337
223,鐵炮魚,Water,,1031,127,69,111,2,http://db.pokemonhubs.com/zh/imgs/211481861360606fa9413cd.png,http://db.pokemonhubs.com/zh/detail.php?p_id=338
224,章魚桶,Water,,2617,197,141,181,2,http://db.pokemonhubs.com/zh/imgs/161750725060607044a02cf.png,http://db.pokemonhubs.com/zh/detail.php?p_id=339
225,信使鳥,Ice,Flying,1237,128,90,128,2,http://db.pokemonhubs.com/zh/imgs/29172123360607144f3474.png,http://db.pokemonhubs.com/zh/detail.php?p_id=340
226,巨翅飛魚,Water,Flying,2383,148,226,163,2,http://db.pokemonhubs.com/zh/imgs/1322546490606074594d138.png,http://db.pokemonhubs.com/zh/detail.php?p_id=341
227,‎盔甲鳥,Steel,Flying,2383,148,226,163,2,http://db.pokemonhubs.com/zh/imgs/3680752836060759c40492.png,http://db.pokemonhubs.com/zh/detail.php?p_id=342
228,戴魯比,Dark,Fire,1395,152,83,128,2,http://db.pokemonhubs.com/zh/imgs/1936907742606076ad24787.png,http://db.pokemonhubs.com/zh/detail.php?p_id=343
229,黑魯加,Dark,Fire,2979,224,144,181,2,http://db.pokemonhubs.com/zh/imgs/1902028656606077baa9c65.png,http://db.pokemonhubs.com/zh/detail.php?p_id=344
230,刺龍王,Water,Dragon,2986,194,194,181,2,http://db.pokemonhubs.com/zh/imgs/227487637606078ec78715.png,http://db.pokemonhubs.com/zh/detail.php?p_id=345
231,小小象,Ground,,1364,107,98,207,2,http://db.pokemonhubs.com/zh/imgs/256837999606079eb54cef.png,http://db.pokemonhubs.com/zh/detail.php?p_id=346
232,頓甲,Ground,,3407,214,185,207,2,http://db.pokemonhubs.com/zh/imgs/17030623060607a8dd4ca6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=347
233,多邊獸Ⅱ,Normal,,3065,198,180,198,2,http://db.pokemonhubs.com/zh/imgs/114083955260607befe4eea.png,http://db.pokemonhubs.com/zh/detail.php?p_id=348
234,驚角鹿,Normal,,2447,192,131,177,2,http://db.pokemonhubs.com/zh/imgs/1416286960607ca877ad2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=349
235,圖圖犬,Normal,,487,40,83,146,2,http://db.pokemonhubs.com/zh/imgs/80078721660607d0554d58.png,http://db.pokemonhubs.com/zh/detail.php?p_id=350
236,無畏小子,Fighting,,556,64,64,111,2,http://db.pokemonhubs.com/zh/imgs/50203085860607df1d527a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=351
237,戰舞郎,Fighting,,2438,173,207,137,2,http://db.pokemonhubs.com/zh/imgs/105426613760607ec74b025.png,http://db.pokemonhubs.com/zh/detail.php?p_id=352
238,迷唇娃,Ice,Psychic,1460,153,91,128,2,http://db.pokemonhubs.com/zh/imgs/622322416606418e218ff8.png,http://db.pokemonhubs.com/zh/detail.php?p_id=353
239,電擊怪,Electric,,1364,135,101,128,2,http://db.pokemonhubs.com/zh/imgs/150238569360641ad98a3b0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=354
240,鴨嘴寶寶,Fire,,1496,151,99,128,2,http://db.pokemonhubs.com/zh/imgs/174895739860641d66cb387.png,http://db.pokemonhubs.com/zh/detail.php?p_id=355
241,大奶罐,Normal,,2662,157,193,216,2,http://db.pokemonhubs.com/zh/imgs/113843772560641e717a49d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=356
242,幸福蛋,Normal,,3117,129,169,496,2,http://db.pokemonhubs.com/zh/imgs/696122569606420f8c36bb.png,http://db.pokemonhubs.com/zh/detail.php?p_id=357
243,雷公,Electric,,3902,241,195,207,2,http://db.pokemonhubs.com/zh/imgs/159077300660642320d59ee.png,http://db.pokemonhubs.com/zh/detail.php?p_id=358
244,炎帝,Fire,,3926,235,171,251,2,http://db.pokemonhubs.com/zh/imgs/1717005938606423f475d05.png,http://db.pokemonhubs.com/zh/detail.php?p_id=359
245,水君,Water,,3372,180,235,225,2,http://db.pokemonhubs.com/zh/imgs/1650434956606424a1a8698.png,http://db.pokemonhubs.com/zh/detail.php?p_id=360
246,幼基拉斯,Rock,Ground,1176,115,93,137,2,http://db.pokemonhubs.com/zh/imgs/1278165030606427ccd9549.png,http://db.pokemonhubs.com/zh/detail.php?p_id=361
247,沙基拉斯,Rock,Ground,1996,155,133,172,2,http://db.pokemonhubs.com/zh/imgs/350350674606429026a007.png,http://db.pokemonhubs.com/zh/detail.php?p_id=362
248,班基拉斯,Rock,Dark,4335,251,207,225,2,http://db.pokemonhubs.com/zh/imgs/101242951160642a8556f94.png,http://db.pokemonhubs.com/zh/detail.php?p_id=363
249,洛奇亞,Psychic,Flying,4186,193,310,235,2,http://db.pokemonhubs.com/zh/imgs/132108480760642c444a1ce.png,http://db.pokemonhubs.com/zh/detail.php?p_id=364
250,鳳王,Fire,Flying,4367,239,244,214,2,http://db.pokemonhubs.com/zh/imgs/196645607560642d93a6dca.png,http://db.pokemonhubs.com/zh/detail.php?p_id=366
251,時拉比,Psychic,Grass,3691,210,210,225,2,http://db.pokemonhubs.com/zh/imgs/10455096160642f01adcbf.png,http://db.pokemonhubs.com/zh/detail.php?p_id=367
252,木守宮,Grass,,1190,124,94,120,3,http://db.pokemonhubs.com/zh/imgs/7125775026064304c47f18.png,http://db.pokemonhubs.com/zh/detail.php?p_id=368
253,森林蜥蜴,Grass,,1891,172,120,137,3,http://db.pokemonhubs.com/zh/imgs/94333523606432323d6ad.png,http://db.pokemonhubs.com/zh/detail.php?p_id=369
254,蜥蜴王,Grass,,3117,223,169,172,3,http://db.pokemonhubs.com/zh/imgs/4557142386064333b89c39.png,http://db.pokemonhubs.com/zh/detail.php?p_id=370
255,火稚雞,Fire,,1236,130,87,128,3,http://db.pokemonhubs.com/zh/imgs/28854775660645bfc2d3b3.png,http://db.pokemonhubs.com/zh/detail.php?p_id=371
256,力壯雞,Fire,Fighting,1868,163,115,155,3,http://db.pokemonhubs.com/zh/imgs/26030445160646a1ec3c38.png,http://db.pokemonhubs.com/zh/detail.php?p_id=372
257,火焰雞,Fire,Fighting,3219,240,141,190,3,http://db.pokemonhubs.com/zh/imgs/63674438860646c50349aa.png,http://db.pokemonhubs.com/zh/detail.php?p_id=373
258,水躍魚,Water,,1275,126,93,137,3,http://db.pokemonhubs.com/zh/imgs/25839501160646d4c69ddf.png,http://db.pokemonhubs.com/zh/detail.php?p_id=374
259,沼躍魚,Water,Ground,2008,156,133,172,3,http://db.pokemonhubs.com/zh/imgs/27678905060646ea312dfc.png,http://db.pokemonhubs.com/zh/detail.php?p_id=375
260,巨沼怪,Water,Ground,3362,208,175,225,3,http://db.pokemonhubs.com/zh/imgs/68140972160646f6832431.png,http://db.pokemonhubs.com/zh/detail.php?p_id=376
261,土狼犬,Dark,,766,96,61,111,3,http://db.pokemonhubs.com/zh/imgs/210568652606474fb5b9c4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=377
262,大狼犬,Dark,,2177,171,132,172,3,http://db.pokemonhubs.com/zh/imgs/12674685776064bfd2e7c4d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=378
263,蛇紋熊,Normal,,575,58,80,116,3,http://db.pokemonhubs.com/zh/imgs/184931637960670c6537122.png,http://db.pokemonhubs.com/zh/detail.php?p_id=379
264,直衝熊,Normal,,1879,142,128,186,3,http://db.pokemonhubs.com/zh/imgs/12376176360670ddedc163.png,http://db.pokemonhubs.com/zh/detail.php?p_id=380
265,刺尾蟲,Bug,,653,75,59,128,3,http://db.pokemonhubs.com/zh/imgs/10134696960670f8d34db2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=381
266,甲殼繭,Bug,,626,60,77,137,3,http://db.pokemonhubs.com/zh/imgs/61965474606710dd0c16f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=382
267,狩獵鳳蝶,Bug,Flying,1996,189,98,155,3,http://db.pokemonhubs.com/zh/imgs/741084086606711f08eeed.png,http://db.pokemonhubs.com/zh/detail.php?p_id=383
268,盾甲繭,Bug,,626,60,77,137,3,http://db.pokemonhubs.com/zh/imgs/21474334566067158d3c0f0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=384
269,毒粉蛾,Bug,,1384,98,162,155,3,http://db.pokemonhubs.com/zh/imgs/763377415606717796266b.png,http://db.pokemonhubs.com/zh/detail.php?p_id=385
270,蓮葉童子,Grass,Water,676,71,77,120,3,http://db.pokemonhubs.com/zh/imgs/32533639860671c65f08ca.png,http://db.pokemonhubs.com/zh/detail.php?p_id=386
271,蓮帽小童,Water,Grass,1353,112,119,155,3,http://db.pokemonhubs.com/zh/imgs/22977974660671d3a5c57a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=387
272,樂天河童,Water,Grass,2626,173,176,190,3,http://db.pokemonhubs.com/zh/imgs/121711457360671e363e108.png,http://db.pokemonhubs.com/zh/detail.php?p_id=388
273,橡實果,Grass,,676,71,77,120,3,http://db.pokemonhubs.com/zh/imgs/143942652760671f394d2bc.png,http://db.pokemonhubs.com/zh/detail.php?p_id=389
274,長鼻葉,Grass,Dark,1387,134,78,172,3,http://db.pokemonhubs.com/zh/imgs/451675839606727b89406f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=390
275,狡猾天狗,Grass,Dark,2637,200,121,207,3,http://db.pokemonhubs.com/zh/imgs/4618269676067293fd6911.png,http://db.pokemonhubs.com/zh/detail.php?p_id=391
276,傲骨燕,Normal,Flying,865,106,61,120,3,http://db.pokemonhubs.com/zh/imgs/88012683460672c94bf445.png,http://db.pokemonhubs.com/zh/detail.php?p_id=392
277,大王燕,Normal,Flying,2170,185,124,155,3,http://db.pokemonhubs.com/zh/imgs/147091487260672d6e00686.png,http://db.pokemonhubs.com/zh/detail.php?p_id=393
278,長翅鷗,Water,Flying,865,106,61,120,3,http://db.pokemonhubs.com/zh/imgs/202290180060672f8f5f5fc.png,http://db.pokemonhubs.com/zh/detail.php?p_id=394
279,大嘴鷗,Water,Flying,2404,175,174,155,3,http://db.pokemonhubs.com/zh/imgs/486170265606731282a303.png,http://db.pokemonhubs.com/zh/detail.php?p_id=395
280,拉魯拉絲,Psychic,Fairy,609,79,59,99,3,http://db.pokemonhubs.com/zh/imgs/14942659606732782f55a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=396
281,奇魯莉安,Psychic,Fairy,1093,117,90,116,3,http://db.pokemonhubs.com/zh/imgs/183049104860673352e43d1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=397
282,沙奈朵,Psychic,Fairy,3497,237,195,169,3,http://db.pokemonhubs.com/zh/imgs/96004504560673501154c9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=398
283,溜溜糖球,Bug,Water,894,93,87,120,3,http://db.pokemonhubs.com/zh/imgs/92505066160673699821c0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=399
284,雨翅蛾,Bug,Flying,2567,192,150,172,3,http://db.pokemonhubs.com/zh/imgs/19587482746067379db78ff.png,http://db.pokemonhubs.com/zh/detail.php?p_id=400
285,蘑蘑菇,Grass,,916,74,110,155,3,http://db.pokemonhubs.com/zh/imgs/857144486067388153045.png,http://db.pokemonhubs.com/zh/detail.php?p_id=401
286,斗笠菇,Grass,Fighting,2971,241,144,155,3,http://db.pokemonhubs.com/zh/imgs/126237342660673975da7c1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=402
287,懶人獺,Normal,,1133,104,92,155,3,http://db.pokemonhubs.com/zh/imgs/100534888360673a5b4588a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=403
288,過動猿,Normal,,2225,159,145,190,3,http://db.pokemonhubs.com/zh/imgs/122615444060673aed86faa.png,http://db.pokemonhubs.com/zh/detail.php?p_id=404
289,請假王,Normal,,5010,290,166,284,3,http://db.pokemonhubs.com/zh/imgs/105334696160673b9f60b8d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=405
290,土居忍士,Bug,Ground,868,80,126,104,3,http://db.pokemonhubs.com/zh/imgs/172225940460673cad3ccf1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=406
291,鐵面忍者,Bug,Flying,2226,199,112,156,3,http://db.pokemonhubs.com/zh/imgs/51765632660673db3e88f0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=407
292,脫殼忍者,Bug,Ghost,445,153,73,1,3,http://db.pokemonhubs.com/zh/imgs/37354936560673f41a8e36.png,http://db.pokemonhubs.com/zh/detail.php?p_id=408
293,咕妞妞,Normal,,758,92,42,162,3,http://db.pokemonhubs.com/zh/imgs/18162698356067404209467.png,http://db.pokemonhubs.com/zh/detail.php?p_id=409
294,吼爆彈,Normal,,1500,134,81,197,3,http://db.pokemonhubs.com/zh/imgs/679988044606740f2a8988.png,http://db.pokemonhubs.com/zh/detail.php?p_id=410
295,爆音怪,Normal,,2654,179,137,232,3,http://db.pokemonhubs.com/zh/imgs/72947356660674196af649.png,http://db.pokemonhubs.com/zh/detail.php?p_id=411
296,幕下力士,Fighting,,924,99,54,176,3,http://db.pokemonhubs.com/zh/imgs/177652728606742ac91650.png,http://db.pokemonhubs.com/zh/detail.php?p_id=412
297,鐵掌力士,Fighting,,3198,209,114,302,3,http://db.pokemonhubs.com/zh/imgs/18416940366067437893d55.png,http://db.pokemonhubs.com/zh/detail.php?p_id=413
298,露力麗,Normal,Fairy,411,36,71,137,3,http://db.pokemonhubs.com/zh/imgs/1850052958606744cbb9e76.png,http://db.pokemonhubs.com/zh/detail.php?p_id=414
299,朝北鼻,Rock,,1123,82,215,102,3,http://db.pokemonhubs.com/zh/imgs/10210396196067462134440.png,http://db.pokemonhubs.com/zh/detail.php?p_id=415
300,向尾喵,Normal,,835,84,79,137,3,http://db.pokemonhubs.com/zh/imgs/710530446606746e8bda94.png,http://db.pokemonhubs.com/zh/detail.php?p_id=416
301,優雅貓,Normal,,1691,132,127,172,3,http://db.pokemonhubs.com/zh/imgs/11486930746067478f48932.png,http://db.pokemonhubs.com/zh/detail.php?p_id=417
302,勾魂眼,Dark,Ghost,1668,141,136,137,3,http://db.pokemonhubs.com/zh/imgs/201570838660681ec0e8a05.png,http://db.pokemonhubs.com/zh/detail.php?p_id=433
303,大嘴娃,Steel,Fairy,1848,155,141,137,3,http://db.pokemonhubs.com/zh/imgs/7443320696068209b24176.png,http://db.pokemonhubs.com/zh/detail.php?p_id=434
304,可可多拉,Steel,Rock,1478,121,141,137,3,http://db.pokemonhubs.com/zh/imgs/757769614606823d1eaf9f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=435
305,可多拉,Steel,Rock,2324,158,198,155,3,http://db.pokemonhubs.com/zh/imgs/1685946903606824970c6c2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=436
306,波士可多拉,Steel,Rock,3391,198,257,172,3,http://db.pokemonhubs.com/zh/imgs/125247106560682593ec2df.png,http://db.pokemonhubs.com/zh/detail.php?p_id=437
307,瑪沙那,Fighting,Psychic,784,78,107,102,3,http://db.pokemonhubs.com/zh/imgs/983982872606826825dbde.png,http://db.pokemonhubs.com/zh/detail.php?p_id=438
308,恰雷姆,Fighting,Psychic,1618,121,152,155,3,http://db.pokemonhubs.com/zh/imgs/15022851596068273847a8d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=439
309,落雷獸,Electric,,1091,123,78,120,3,http://db.pokemonhubs.com/zh/imgs/368111475606828645894c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=440
310,雷電獸,Electric,,2646,215,127,172,3,http://db.pokemonhubs.com/zh/imgs/17142385306068297e708a3.png,http://db.pokemonhubs.com/zh/detail.php?p_id=441
311,正電拍拍,Electric,,2010,167,129,155,3,http://db.pokemonhubs.com/zh/imgs/106902485060682a47c6819.png,http://db.pokemonhubs.com/zh/detail.php?p_id=442
312,負電拍拍,Electric,,1915,147,150,155,3,http://db.pokemonhubs.com/zh/imgs/69310188460682ade88dad.png,http://db.pokemonhubs.com/zh/detail.php?p_id=443
313,電螢蟲,Bug,,2002,143,166,163,3,http://db.pokemonhubs.com/zh/imgs/937789347606926ab9b384.png,http://db.pokemonhubs.com/zh/detail.php?p_id=460
314,甜甜螢,Bug,,2002,143,166,163,3,http://db.pokemonhubs.com/zh/imgs/18617074096069283130556.png,http://db.pokemonhubs.com/zh/detail.php?p_id=461
